Day,Cash On Hand
11,114461
12,49565
13,159756
14,301075
15,231765
16,98153
17,192297
18,335094
19,155462
20,85183
21,418624
22,1072728
23,130559
24,1029439
25,1046182
26,1070794
27,2799627
28,2873085
29,2261262
30,2736642
31,2843949
32,2921939
33,4033015
34,3948984
35,3512146
36,3645940
37,4263548
38,5346617
39,6175330
40,6434118
41,9058157
42,8707366
43,8910858
44,11521109
45,15007213
46,15202437
47,15437776
48,18438082
49,18777605
50,19737475
51,19249473
52,19938271
53,20799259
54,19072638
55,20793094
56,21304180
57,22798208
58,23244050
59,24242489
60,25025961
61,26738067
62,27558159
63,27850735
64,27880782
65,27860736
66,28649011
67,28988433
68,30685734
69,30623038
70,32407843
71,34521564
72,36118155
73,34655977
74,37833795
75,38042986
76,33784721
77,33620793
78,34092159
79,34171329
80,34485680
81,34407612
82,35072250
83,35518776
84,37561257
85,41024254
86,44328679
87,44443952
88,45657230
89,46386531
90,49631191
90,49631191
